name,number,type,address,city,state,zip,lat,lng
WMNC,355,STATION,2500 CONSULATE DRIVE,ORLANDO,FL,32819,28.4302402,-81.4075509
SHUN,357,STATION,9324 MADISON BOULEVARD,MADISON,AL,35758,34.67113521,-86.76590231
HUNT,358,STATION,510 PRODUCTION AVENUE,MADISON,AL,35758,34.67191185,-86.78356393
AUGX,359,ANNEX,2902 GUN CLUB RD,AUGUSTA,GA,30907,33.5236556,-82.0309279
TAFT,360,ANNEX,501 GILLS DR,ORLANDO,FL,32824,28.4419115,-81.3842762
MONT,361,STATION,7910 BILL JOSEPH PARKWAY,MONTGOMERY,AL,36105,32.264595,-86.372831
ANNI,362,STATION,35 FISH HATCHERY LANE,EASTABOGA,AL,36260,33.6048817,-86.0056194
DOTH,363,STATION,4674 WESTGATE PARKWAY,DOTHAN,AL,36303,31.27135975,-85.38748024
EVER,364,STATION,124 FAIRVIEW COMMONS DRIVE,EVERGREEN,AL,36401,31.4341907,-86.9545924
KNXX,365,ANNEX,3700 MIDDLEBROOK PIKE,KNOXVILLE,TN,37921,35.962068,-83.969664
MOBI,366,STATION,6752 TRIPPEL ROAD,THEODORE,AL,36582,30.5577719,-88.2111181
SHAV,367,ANNEX,4325 EXECUTIVE DRIVE,SOUTHAVEN,MS,38672,34.9241294,-90.0002914
EBIX,368,ANNEX,1401 GADSDEN HIGHWAY,BIRMINGHAM,AL,35235,33.59566573,-86.64637136
ENAX,369,ANNEX,1050 RICHARD PETTY WAY,LEBANON,TN,37090,36.041794,-86.3942702
EMUR,370,STATION,3161 ELAM FARMS PARKWAY,MURFREESBORO,TN,37127,35.79052497,-86.36642462
NASH,371,HUB,3301 KNIGHT ROAD,NASHVILLE,TN,37207,36.232112,-86.803803
NASL,372,HUB LOCAL,3301 KNIGHT ROAD,NASHVILLE,TN,37207,36.232112,-86.803803
CHAT,373,STATION,3021 ALTON PARK BLVD,CHATTANOOGA,TN,37410,35.02066302,-85.3137396
ECHT,374,STATION,5076 SUMMIT SPRING WAY,OOLTEWAH,TN,37363,35.0741543,-85.1034321
KODA,375,STATION,3774 SNYDER ROAD,KODAK,TN,37764,35.9953749,-83.6102302
JOHN,376,STATION,2200 TRI-CITIES CROSSING,KINGSPORT,TN,37663,36.457533,-82.535703
LERS,378,STATION,1050 RICHARD PETTY WAY,LEBANON,TN,37090,36.041794,-86.3942702
KNOX,379,STATION,2560 BERTELKAMP LANE,KNOXVILLE,TN,37931,35.9590989,-84.1444252
MEML,380,HUB LOCAL,555 COMPRESS DRIVE,MEMPHIS,TN,38106,35.08286886,-90.04458533
MEMP,381,HUB,555 COMPRESS DRIVE,MEMPHIS,TN,38106,35.08286886,-90.04458533
ENAS,382,STATION,100 FEDEX WAY,MOUNT JULIET,TN,37122,36.200055,-86.5186054
JACK,383,STATION,7 AMERICAN WOODMARK DRIVE,HUMBOLDT,TN,38343,35.82485,-88.9370466
LAWR,384,STATION,20 COMMERCE WAY,ETHRIDGE,TN,38456,35.2970055,-87.3091459
COOK,385,STATION,1780 TENNTEX DRIVE,COOKEVILLE,TN,38506,36.1287291,-85.4735715
OLIL,386,HUB LOCAL,8505 NAIL ROAD,OLIVE BRANCH,MS,38654,34.94153078,-89.8379785
GRMS,387,STATION,4483 HWY 82 WEST,LELAND,MS,38756,33.3993444,-90.9259864
TUPL,388,STATION,3341 N COLEY ROAD,BELDEN,MS,38826,34.3046842,-88.771799
OLIV,389,HUB,8505 NAIL ROAD,OLIVE BRANCH,MS,38654,34.94153078,-89.8379785
MELX,390,ANNEX,555 COMPRESS DRIVE,MEMPHIS,TN,38106,35.08286886,-90.04458533
OVOB,391,NFS,6495 POLK LANE,OLIVE BRANCH,MS,38654,34.9801131,-89.7776744
JAMS,392,STATION,1549 OLD WHITFIELD RD,PEARL,MS,39208,32.26230319,-90.08630535
MERI,393,STATION,71 HIGHWAY 19 NORTH,MERIDIAN,MS,39307,32.3656057,-88.7299136
